time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
112955,0,0,0,379,121
113019,0,0,0,367,133
113085,0,0,0,384,116
113113,0,0,0,381,119
113113,0,0,0,367,133
113113,0,0,0,353,147
113134,0,0,0,365,135
113145,0,0,0,368,132
113256,0,0,0,364,136
113256,0,0,0,362,138
113256,0,0,0,322,178
113267,0,0,0,324,176
113289,0,0,0,338,162
113293,0,0,0,335,165
113304,0,0,0,349,151
113309,0,0,0,353,147
113313,0,0,0,356,144
113400,0,0,0,406,94
113402,0,0,0,390,110
113402,0,0,0,335,165
113495,0,0,0,315,185
113548,0,0,0,355,145
113611,0,0,0,371,129
113703,0,0,0,391,109
113787,0,0,0,445,55
113998,0,0,0,406,94
113998,0,0,0,393,107
114084,0,0,0,406,94
114142,0,0,0,391,109
114244,0,0,0,430,70
114296,0,0,0,445,55
114471,0,0,0,438,62
114494,0,0,0,493,7
114570,0,0,0,500,0
114576,0,0,0,465,35
114576,0,0,0,427,73
114730,0,0,0,422,78
114730,0,0,0,409,91
114776,0,0,0,414,86
114881,0,0,0,399,101
114881,0,0,0,283,217
114881,0,0,0,235,265
114988,0,0,0,248,252
115084,0,0,0,263,237
115126,0,0,0,298,202
115163,0,0,0,270,230
115163,0,0,0,260,240
115222,0,0,0,270,230
115286,0,0,0,259,241
115315,0,0,0,297,203
115318,0,0,0,286,214
115397,0,0,0,297,203
115400,0,0,0,279,221
115441,0,0,0,290,210
115486,0,0,0,285,215
115486,0,0,0,265,235
115499,0,0,0,313,187
115562,0,0,0,318,182
115593,0,0,0,336,164
115608,0,0,0,326,174
115608,0,0,0,324,176
115611,0,0,0,352,148
115626,0,0,0,354,146
115653,0,0,0,374,126
115737,0,0,0,384,116
115822,0,0,0,375,125
115822,0,0,0,329,171
115878,0,0,0,323,177
115878,0,0,0,317,183
115878,0,0,0,300,200
115932,0,0,0,306,194
115986,0,0,0,312,188
115995,0,0,0,321,179
116026,0,0,0,303,197
