time,energy,event_type,wattmin,epower
337602.000000,42963574519.007219,s,125000.000000,129252.678572
337614.492710,42965189357.938953,e,125000.000000,129262.500000
337743.000000,42981799269.382048,s,125000.000000,129252.678571
337743.000000,42981799269.382063,s,125000.000000,128000.000000
337794.722306,42988490103.862400,e,125000.000000,129360.714286
337796.890499,42988770518.970104,e,125000.000000,129331.250000
337843.000000,42994730295.453520,s,125000.000000,129252.678571
337916.202749,43004199855.342870,e,125000.000000,129360.714286
337916.202749,43004199855.351768,s,125000.000000,129010.173840
337938.000000,43007024273.073791,s,125000.000000,129576.785714
337938.000000,43007024273.073806,s,125000.000000,128000.000000
337938.000000,43007024273.073821,s,125000.000000,128000.000000
337962.222212,43010168143.138276,e,125000.000000,129792.857143
337990.359847,43013819378.115134,e,125000.000000,129763.392857
338036.000000,43019740454.509447,s,125000.000000,129733.928571
338050.636012,43021640966.766829,e,125000.000000,129851.785714
338213.715689,43042799535.706591,e,125000.000000,129743.750000
338227.391236,43044572240.696000,e,125000.000000,129625.892857
338309.000000,43055138025.300551,s,125000.000000,129468.750000
338309.000000,43055138025.300566,s,125000.000000,128000.000000
338309.000000,43055138025.300580,s,125000.000000,128000.000000
338379.675242,43064318108.236384,e,125000.000000,129891.071429
338449.915413,43073436850.255326,e,125000.000000,129822.321429
338449.915413,43073436850.264095,s,125000.000000,129199.643225
338475.214982,43076718068.854654,e,125000.000000,129694.642857
338629.004798,43096639617.097928,e,125000.000000,129537.500000
338629.004798,43096639617.119453,s,125000.000000,125657.552158
338629.004798,43096639617.119468,s,125000.000000,128000.000000
338662.541595,43100984219.322502,e,125000.000000,129547.321429
338832.000000,43122903815.329025,s,125000.000000,129350.892857
338832.000000,43122903815.329040,s,125000.000000,128000.000000
338930.843771,43135715556.663034,e,125000.000000,129616.071429
338951.651906,43138410786.013828,e,125000.000000,129527.678571
339114.329410,43159453266.474423,e,125000.000000,129350.892857
339114.329410,43159453266.474438,s,125000.000000,128000.000000
339199.012349,43170411238.712258,e,125000.000000,129400.000000
339308.000000,43184463931.291086,s,125000.000000,128938.392857
339308.000000,43184463931.291101,s,125000.000000,128000.000000
339308.000000,43184463931.291116,s,125000.000000,128000.000000
339549.637540,43215826757.974778,e,125000.000000,129792.857143
339575.399763,43219165703.051055,e,125000.000000,129606.250000
339591.744498,43221280872.345338,e,125000.000000,129409.821429
339960.634468,43268815967.974542,e,125000.000000,128859.821429
340667.000000,43359505103.436838,s,125000.000000,128388.392857
340667.000000,43359505103.436853,s,125000.000000,128000.000000
340886.179087,43387703275.780899,e,125000.000000,128653.571429
340913.061435,43391158089.478758,e,125000.000000,128516.071429
341471.000000,43462790925.190926,s,125000.000000,128388.392857
341518.575161,43468903228.955619,e,125000.000000,128476.785714
341752.000000,43498872268.888183,s,125000.000000,128388.392857
341879.078445,43515203891.361705,e,125000.000000,128516.071429
342058.000000,43538175342.296750,s,125000.000000,128388.392857
342058.000000,43538175342.296765,s,125000.000000,128000.000000
342092.579344,43542624098.432368,e,125000.000000,128653.571429
342351.000000,43575863224.545284,s,125000.000000,128624.107143
342522.239175,43597989619.291002,e,125000.000000,129213.392857
343267.376919,43694095755.834733,e,125000.000000,128977.678571
343274.358979,43694972627.688254,e,125000.000000,125589.285715
344289.000000,43821802755.328822,s,125000.000000,125000.000000
344303.087895,43823563880.626966,e,125000.000000,125009.821428
345491.000000,43972052893.692074,s,125000.000000,125000.000000
345625.439783,43988867109.271045,e,125000.000000,125068.750000
345895.000000,44022562136.427138,s,125000.000000,125000.000000
346324.590319,44076362186.898852,e,125000.000000,125235.714286
347608.000000,44236788397.002371,s,125000.000000,125000.000000
347725.545109,44251490771.295477,e,125000.000000,125078.571429
348085.000000,44296422632.689488,s,125000.000000,125000.000000
348135.259100,44302708475.563446,e,125000.000000,125068.750000
350471.000000,44594676088.002646,s,125000.000000,125000.000000
350471.000000,44594676088.002661,s,125000.000000,128000.000000
350471.000000,44594676088.002676,s,125000.000000,128000.000000
350489.919402,44597057365.007542,e,125000.000000,125864.285714
350740.000000,44628526212.413601,s,125000.000000,125834.821429
350740.000000,44628526212.413616,s,125000.000000,128000.000000
350775.955531,44633058439.246804,e,125000.000000,126050.892857
350963.832358,44656736790.598741,e,125000.000000,126031.250000
351042.262298,44666596764.464713,e,125000.000000,125716.964286
351140.640170,44678945207.732435,e,125000.000000,125520.535714
351231.000000,44690240186.464052,s,125000.000000,125000.000000
351448.000000,44717401417.714052,s,125000.000000,125166.964286
351448.000000,44717401417.714067,s,125000.000000,128000.000000
351448.000000,44717401417.714082,s,125000.000000,128000.000000
351549.575885,44730205148.700566,e,125000.000000,126050.892857
351579.527950,44733975632.269672,e,125000.000000,125883.928571
351799.048142,44761557952.470605,e,125000.000000,125648.214286
352081.777296,44797029606.552454,e,125000.000000,125461.607143
353655.000000,44993682444.493676,s,125000.000000,125000.000000
353955.208264,45031267446.981865,e,125000.000000,125196.428571
354094.000000,45048616413.974102,s,125000.000000,125000.000000
354094.000000,45048616413.974117,s,125000.000000,128000.000000
354143.288707,45054782827.316631,e,125000.000000,125108.035714
354219.089212,45064263846.106251,e,125000.000000,125078.571429
355168.000000,45182877694.668715,s,125000.000000,125000.000000
355222.982366,45189752110.432493,e,125000.000000,125029.464286
355565.000000,45232504314.684848,s,125000.000000,125000.000000
355617.454461,45239065243.752967,e,125000.000000,125078.571429
356625.000000,45365008436.106797,s,125000.000000,125000.000000
356625.000000,45365008436.106812,s,125000.000000,128000.000000
356625.000000,45365008436.106827,s,125000.000000,128000.000000
356625.000000,45365008436.106842,s,125000.000000,128000.000000
356630.800877,45365739869.667406,e,125000.000000,126090.178572
356884.677456,45397748719.514125,e,125000.000000,126080.357143
356986.034787,45410490060.011775,e,125000.000000,125707.142857
357169.000000,45433430793.798061,s,125000.000000,125383.035714
357288.450005,45448430088.289458,e,125000.000000,125569.642857
357451.337204,45468821384.114618,e,125000.000000,125186.607143
357597.000000,45487029233.555170,s,125000.000000,125000.000000
357748.898740,45506037462.161652,e,125000.000000,125137.500000
358165.000000,45558050119.631945,s,125000.000000,125000.000000
358584.000000,45610630878.560517,s,125000.000000,125491.071429
358584.000000,45610630878.560532,s,125000.000000,128000.000000
358601.190592,45612798105.674057,e,125000.000000,126070.535714
358727.117245,45628671272.757325,e,125000.000000,126050.892857
359686.000687,45749068506.441143,e,125000.000000,125559.821429
367596.000000,46737818420.621481,s,125000.000000,125000.000000
367596.000000,46737818420.621496,s,125000.000000,128000.000000
367607.055206,46739201515.757204,e,125000.000000,125108.035714
367657.471477,46745508501.247976,e,125000.000000,125098.214286
367945.000000,46781449566.576640,s,125000.000000,125000.000000
367945.000000,46781449566.576655,s,125000.000000,128000.000000
367945.000000,46781449566.576670,s,125000.000000,128000.000000
367954.149293,46782595834.151237,e,125000.000000,125284.821428
368077.319640,46798025999.387455,e,125000.000000,125275.000000
368077.687280,46798072019.318429,e,125000.000000,125176.785723
368639.000000,46868236109.330294,s,125000.000000,125000.000000
368725.198088,46879025262.325182,e,125000.000000,125166.964286
369042.000000,46918625501.332469,s,125000.000000,125000.000000
369042.000000,46918625501.332484,s,125000.000000,128000.000000
369042.000000,46918625501.332499,s,125000.000000,128000.000000
369042.000000,46918625501.332514,s,125000.000000,128000.000000
369059.345235,46920877129.644194,e,125000.000000,129812.500000
369067.829628,46921978426.622263,e,125000.000000,129802.678572
369194.402015,46938405375.244458,e,125000.000000,129783.035714
369919.000000,47032346269.153691,s,125000.000000,129645.535714
370125.848333,47059187610.683516,e,125000.000000,129763.392857
370888.000000,47157997171.814389,s,125000.000000,129645.535714
371007.000000,47173439015.564382,s,125000.000000,129763.392857
371112.175424,47187093133.203736,e,125000.000000,129822.321429
371120.161764,47188128997.223613,e,125000.000000,129704.464286
371285.000000,47209499538.628962,s,125000.000000,129645.535714
371538.549564,47242408461.023600,e,125000.000000,129792.857143
371578.000000,47247523033.877295,s,125000.000000,129645.535714
371578.000000,47247523033.877310,s,125000.000000,128000.000000
371690.085479,47262077533.413747,e,125000.000000,129851.785714
371873.567190,47285892148.966503,e,125000.000000,129792.857143
371873.567190,47285892148.982154,s,125000.000000,129646.595950
371924.000000,47292437472.163592,s,125000.000000,129783.035714
372013.780091,47304099104.434361,e,125000.000000,129891.071429
372093.091704,47314392406.295143,e,125000.000000,129783.035714
372095.000000,47314639808.336361,s,125000.000000,129645.535713
372247.659456,47334453915.239858,e,125000.000000,129792.857143
372388.000000,47352648440.309722,s,125000.000000,129645.535714
372518.193997,47369536461.684965,e,125000.000000,129714.285714
372666.000000,47388698850.075611,s,125000.000000,129645.535714
372727.016601,47396611777.035090,e,125000.000000,129684.821429
373431.000000,47487880081.977782,s,125000.000000,129645.535714
373464.047652,47492166185.455774,e,125000.000000,129694.642857
373557.000000,47504217042.353578,s,125000.000000,129645.535714
373659.818142,47517555033.965324,e,125000.000000,129724.107143
374258.000000,47595106641.457548,s,125000.000000,129645.535714
374336.522876,47605292180.257640,e,125000.000000,129714.285714
374395.000000,47612873478.298159,s,125000.000000,129645.535714
374431.069759,47617551178.539725,e,125000.000000,129684.821429
374493.000000,47625580157.824401,s,125000.000000,129645.535714
374493.000000,47625580157.824416,s,125000.000000,128000.000000
374516.325286,47628606696.959242,e,125000.000000,129753.571428
374537.000000,47631288908.856804,s,125000.000000,129733.928571
374537.000000,47631288908.856818,s,125000.000000,128000.000000
374558.967265,47634141613.218061,e,125000.000000,129861.607143
374558.967265,47634141613.218076,s,125000.000000,128000.000000
374558.967265,47634141613.218091,s,125000.000000,128000.000000
374558.967265,47634141613.218105,s,125000.000000,128000.000000
374558.967265,47634141613.218120,s,125000.000000,128000.000000
374558.967265,47634141613.218135,s,125000.000000,128000.000000
374558.967265,47634141613.218150,s,125000.000000,128000.000000
374558.967265,47634141613.218165,s,125000.000000,128000.000000
374558.967265,47634141613.218180,s,125000.000000,128000.000000
374558.967265,47634141613.218195,s,125000.000000,128000.000000
374558.967265,47634141613.218210,s,125000.000000,128000.000000
374558.967265,47634141613.218225,s,125000.000000,128000.000000
374558.967265,47634141613.218240,s,125000.000000,128000.000000
374558.967265,47634141613.218255,s,125000.000000,128000.000000
374558.967265,47634141613.218269,s,125000.000000,128000.000000
374558.967265,47634141613.218284,s,125000.000000,128000.000000
374558.967265,47634141613.218299,s,125000.000000,128000.000000
374558.967265,47634141613.218314,s,125000.000000,128000.000000
374578.000000,47636609870.034066,s,125000.000000,129684.821428
374609.934175,47640757206.993423,e,125000.000000,129871.428571
374617.127819,47641691031.894042,e,125000.000000,129812.500000
374622.202644,47642349458.751315,e,125000.000000,129743.750000
374691.256079,47651302606.523825,e,125000.000000,129655.357143
374695.110673,47651801769.564414,e,125000.000000,129498.214285
374708.000000,47653468129.330787,s,125000.000000,129282.142857
374728.054840,47656061452.878620,e,125000.000000,129311.607143
374728.054840,47656061452.922023,s,125000.000000,128984.233870
374730.714909,47656405744.194236,e,125000.000000,129429.464287
374747.440232,47658567865.551771,e,125000.000000,129272.321429
374759.159548,47660078935.350126,e,125000.000000,128938.392857
374764.088672,47660713568.886139,e,125000.000000,128751.785714
374764.235157,47660732401.707139,e,125000.000000,128565.178581
374775.595549,47662192617.869869,e,125000.000000,128535.714286
374806.270238,47666129385.515885,e,125000.000000,128339.285714
374807.032766,47666227120.424099,e,125000.000000,128172.321433
374815.809491,47667350933.148283,e,125000.000000,128044.642857
374853.549649,47672175944.925778,e,125000.000000,127848.214286
374867.367840,47673938911.713520,e,125000.000000,127583.035714
374871.000000,47674400315.968727,s,125000.000000,127033.035714
374871.000000,47674400315.968742,s,125000.000000,128000.000000
374871.000000,47674400315.968757,s,125000.000000,128000.000000
374871.000000,47674400315.968772,s,125000.000000,128000.000000
374878.801395,47675397403.944938,e,125000.000000,127808.928571
374924.847147,47681273869.691279,e,125000.000000,127622.321429
374974.934370,47687663165.738874,e,125000.000000,127563.392857
374986.000000,47689072235.432001,s,125000.000000,127337.500000
375084.645144,47701680934.405552,e,125000.000000,127818.750000
375116.452646,47705741531.308436,e,125000.000000,127661.607143
375155.115723,47710672385.387258,e,125000.000000,127533.928571
375200.618806,47716456802.291613,e,125000.000000,127121.428571
375210.000000,47717645299.039191,s,125000.000000,126689.285714
375236.500226,47721007799.127998,e,125000.000000,126885.714286
375262.000000,47724234340.190465,s,125000.000000,126532.142857
375262.000000,47724234340.190480,s,125000.000000,128000.000000
375302.438172,47729362983.582756,e,125000.000000,126826.785714
375329.155907,47732740486.986206,e,125000.000000,126414.285714
375388.000000,47740175753.338150,s,125000.000000,126355.357143
375388.000000,47740175753.338165,s,125000.000000,128000.000000
375388.000000,47740175753.338180,s,125000.000000,128000.000000
375393.450524,47740868364.138589,e,125000.000000,127072.321428
